Code,NarrowSynonym,Cod
http://purl.obolibrary.org/obo/FOODON_00003172,Allium fistulosum L.,00003172
http://purl.obolibrary.org/obo/FOODON_00003187,nutella,00003187
http://purl.obolibrary.org/obo/FOODON_00003250,paella valenciana,00003250
http://purl.obolibrary.org/obo/FOODON_00003304,filet mignon,00003304
http://purl.obolibrary.org/obo/FOODON_00003341,bok choy vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,bomdong vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,broccolini vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,chinese cabbage vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,choy sum vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,collard greens vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,gai lan vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,komatsuna vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,mizuna vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,rutabaga vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,savoy cabbage vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,tatsoi vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003853,bird seed,00003853
http://purl.obolibrary.org/obo/FOODON_00003859,hooikaas,00003859
http://purl.obolibrary.org/obo/FOODON_00003859,meikaas,00003859
http://purl.obolibrary.org/obo/FOODON_00003879,milk candy bar,00003879
http://purl.obolibrary.org/obo/FOODON_00003947,Splenda,00003947
http://purl.obolibrary.org/obo/FOODON_00003948,Equal,00003948
http://purl.obolibrary.org/obo/FOODON_00003948,NutraSweet,00003948
http://purl.obolibrary.org/obo/FOODON_00003949,Sweet'N Low,00003949
http://purl.obolibrary.org/obo/FOODON_00004143,braided chew,00004143
http://purl.obolibrary.org/obo/FOODON_00004158,pig meal,00004158
http://purl.obolibrary.org/obo/FOODON_00004169,party wing,00004169
http://purl.obolibrary.org/obo/FOODON_00004175,indo kratom powder,00004175
http://purl.obolibrary.org/obo/FOODON_03301227,Horse bean,03301227
http://purl.obolibrary.org/obo/FOODON_03301227,field bean,03301227
http://purl.obolibrary.org/obo/FOODON_03301227,tic bean,03301227
http://purl.obolibrary.org/obo/FOODON_03301227,tick bean,03301227
http://purl.obolibrary.org/obo/FOODON_03301503,condensed milk,03301503
http://purl.obolibrary.org/obo/FOODON_03301889,philadelphia cream cheese,03301889
http://purl.obolibrary.org/obo/FOODON_03302918,cheddar-jack,03302918
http://purl.obolibrary.org/obo/FOODON_03302918,colby-jack,03302918
http://purl.obolibrary.org/obo/FOODON_03302918,pepper jack,03302918
http://purl.obolibrary.org/obo/FOODON_03304999,tempeh gembus,03304999
http://purl.obolibrary.org/obo/FOODON_03304999,tempeh kedele,03304999
http://purl.obolibrary.org/obo/FOODON_03305135,kheer,03305135
http://purl.obolibrary.org/obo/FOODON_03305516,canapé,03305516
http://purl.obolibrary.org/obo/FOODON_03307126,red velvet,03307126
http://purl.obolibrary.org/obo/FOODON_03309823,bagoong alamang,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,bagoong aramang,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,belacan,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,belachan,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,blachang,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,hae ko,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,hom ha,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,kapi,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,mắm ruốc,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,mắm tép,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,mắm tôm,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,ngapi,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,sidol,03309823
http://purl.obolibrary.org/obo/FOODON_03309823,terasi,03309823
http://purl.obolibrary.org/obo/FOODON_03310591,bottom round,03310591
http://purl.obolibrary.org/obo/FOODON_03310591,eye of round,03310591
http://purl.obolibrary.org/obo/FOODON_03310591,top round,03310591
http://purl.obolibrary.org/obo/FOODON_03310780,whole milk,03310780
http://purl.obolibrary.org/obo/FOODON_03315627,double porter,03315627
http://purl.obolibrary.org/obo/FOODON_03315627,extra porter,03315627
http://purl.obolibrary.org/obo/FOODON_03315627,stout porter,03315627
http://purl.obolibrary.org/obo/FOODON_03315658,souse,03315658
http://purl.obolibrary.org/obo/FOODON_03315873,chili pod,03315873
http://purl.obolibrary.org/obo/FOODON_03411030,Soletellina diphos (Linnaeus 1771),03411030
