url,codigo,nome,nome_ingles,nome_cientifico,grupo,marca,Energia (kJ),Energia (kcal),Umidade (g),Carboidrato total (g),Carboidrato disponível (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),Colesterol (g),Gordura de adição (g),Proteína animal (g),Proteína vegetal (g)
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0001C,C0001C,"Abacate, polpa, in natura","Avocado, pulp, raw",Persea americana Mill,Frutas e derivados,,312,76,"86,3","5,84","1,81","1,15","6,21","4,03","0,00","0,47","0,00","1,70","3,18","1,04","0,00","7,16","0,17",tr,"17,0","18,5",174,"0,23","0,12","0,20","6,21","3,11","0,00","0,02",tr,"0,04",tr,tr,"0,00","7,32","41,5","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0195C,C0195C,"Abacaxi, cozido, caramelado","Pineapple, cooked, caramelized", ,Frutas e derivados,,578,136,"65,5","33,3","32,5","0,60","0,26","0,84","0,00","0,39","0,00","0,02","0,02","0,08","0,00","24,6","0,90","5,24","19,3","11,1",137,"0,16","0,10","0,30","0,00","0,00","0,00","0,04","0,10","0,02",tr,tr,"0,00","17,4","4,23","0,00","25,0",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0300C,C0300C,"Abacaxi, grelhado, c/ cobertura de chocolate","Pineapple, grilled, with chocolate coating", ,Frutas e derivados,,619,148,"69,9","21,3","20,2","1,69","6,43","1,10","0,00","0,69",,"3,58","2,06","0,26","0,05","53,4","0,77","15,9","26,8","50,9",161,"0,31","0,15","1,23","1,20","0,60","0,00","0,14","0,12","0,06","0,13","0,12","0,15","18,5","6,72",NA,"0,00","3,36",,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0054C,C0054C,"Abacaxi, polpa, congelada","Pineapple, pulp, frozen",Ananas comosus L.,Frutas e derivados,,142,33,"91,3","7,80","7,47","0,47","0,11","0,33","0,00","0,33","0,00","0,01","0,01","0,04","0,00","13,5","0,36","1,24","10,1","7,63",106,"0,06","0,04","0,06","2,26","1,13","0,00","0,02","0,05",tr,tr,tr,"0,00","1,25","11,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0264C,C0264C,"Abacaxi, polpa, desidratada","Pineapple, pulp, dehydrated",Ananas comosus ,Frutas e derivados,,1115,279,"27,5","64,9","58,6","3,80","1,86","6,24","0,00","1,99","0,00","0,13","0,18","0,57","0,00",102,"2,64","15,9","92,8","58,7",767,"0,86","0,69","2,26","11,2","5,58","0,00","0,26","0,92","0,11",tr,tr,"0,00",184,"63,1","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0218C,C0218C,"Abacaxi, polpa, grelhado, c/ canela","Pineapple, pulp, grilled, with cinnamon", ,Frutas e derivados,,215,51,"86,6","12,0","10,6","0,70","0,34","1,38","0,00","0,37","0,00","0,02","0,03","0,10","0,00","22,4","0,51","2,88","16,8","10,8",125,"0,16","0,11","0,42","1,69","0,92","0,00","0,06","0,13","0,02","0,01","0,00","0,00","33,0","6,77","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0002C,C0002C,"Abacaxi, polpa, in natura","Pineapple, pulp, raw",Ananas comosus L.,Frutas e derivados,,211,50,"87,0","11,6","10,5","0,68","0,33","1,12","0,00","0,36","0,00","0,02","0,03","0,10","0,00","18,4","0,47","2,84","16,6","10,5",137,"0,15","0,12","0,41","2,00","1,00","0,00","0,05","0,17","0,02",tr,tr,"0,00","33,1","11,3","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0069C,C0069C,"Abiu, in natura","Brazilian fruit,´Abiu´, raw",Lucuma caimito (Ruiz & Pav.) Roem & Schult,Frutas e derivados,,279,66,"83,1","14,9","13,2","0,83","0,70","1,70","0,00","0,39","0,00","0,30","0,10","0,10","0,00","5,78","0,16",tr,"9,30","20,3",128,"0,10","0,09",NA,NA,NA,"0,00",NA,tr,"0,04",tr,"0,05","0,00","10,3",NA,"0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0680B,C0680B,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal","Pumpkin, squash, cabotian, with okra, braised (with oil, onion and garlic, with salt", ,Vegetais e derivados,,200,48,"87,6","8,22","5,43","1,51","1,61","2,79","0,00","1,08","0,00","0,25","0,38","0,83","0,01","45,9","0,37",188,"15,8","37,2",170,"0,34","0,10","0,68",313,156,"0,00","4,08","0,06","0,00","0,02","0,06","0,00","5,97","27,5","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0059B,C0059B,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal","Pumpkin, Squash, cabotian (japonesa), peeled, boiled, drained, without oil, unsalted",Cucurbita maxima x,Vegetais e derivados,,212,50,"86,4","10,8","8,30","1,44","0,73","2,46","0,00","0,71","0,00","0,10","0,20","0,20","0,00","7,63","0,35","1,45","9,11","32,6",199,"0,29","0,06","1,17",617,308,"0,00","8,34","0,08",tr,tr,"0,07","0,00","7,46","8,94","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0002B,C0002B,"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua","Pumpkin, squash, cabotian (japonesa), peeled, seedless, raw",Cucurbita maxima x,Vegetais e derivados,,172,41,"88,5","8,36","6,19","1,75","0,54","2,17","0,00","0,84","0,00","0,12","0,08","0,05","0,00","18,0","0,37",tr,"8,82","25,8",350,"0,32","0,06","1,10",508,254,"0,00","5,72",tr,tr,tr,"0,10","0,00","5,09","21,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0003B,C0003B,"Abóbora, menina brasileira, s/ casca, s/ sementes, crua","Pumpkin, squash, peeled, seedless, raw",Cucurbita moschata ,Vegetais e derivados,,57,13,"95,7","3,34","2,17","0,61",tr,"1,17","0,00","0,36","0,00",tr,tr,tr,"0,00","8,74","0,15",tr,"4,09","11,6",164,tr,"0,02","1,10",1335,667,"0,00","0,04","0,07",tr,tr,"0,04","0,00","1,50","8,21","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0151B,C0151B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal","Pumpkin, squash, braised (with oil, onion and garlic), with salt", ,Vegetais e derivados,,124,30,"92,5","5,98","4,44","0,39","0,80","1,55","0,00","0,37","0,00","0,12","0,19","0,45","0,00","19,2","0,11",130,"7,50","11,7",183,"0,08","0,04","1,07","95,3","47,7","0,00","1,51","0,05",tr,tr,"0,05",-,"6,73","8,45","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0101B,C0101B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal","Pumpkin, squash, braised (with oil, onion and garlic), without salt",Cucurbita maxima ,Vegetais e derivados,,124,30,"92,5","5,98","4,44","0,39","0,80","1,55","0,00","0,37","0,00","0,12","0,19","0,45","0,00","19,1","0,11","3,03","7,49","11,7",183,"0,08","0,04","1,07","95,3","47,7","0,00","1,51","0,05",tr,tr,"0,05","0,00","6,73","8,45","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0270B,C0270B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal","Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, with salt",Curcubita spp. ,Vegetais e derivados,,131,32,"91,2","4,78","2,28","1,38","1,33","2,50","0,00","1,27","0,00","0,21","0,29","0,73","0,00","8,88","0,18",280,"5,28","15,6",133,"0,12","0,07","0,91",296,148,"0,00","1,40","0,03","0,01","0,01","0,06","0,00","10,3","9,60","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0269B,C0269B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal","Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, unsalted",Curcubita spp. ,Vegetais e derivados,,135,33,"91,4","5,00","2,42","1,42","1,34","2,58","0,00","0,82","0,00","0,22","0,30","0,73","0,00","10,5","0,21","93,1","5,83","16,2",134,"0,13","0,08","0,92",297,148,"0,00","1,41","0,03","0,01","0,02","0,06","0,00","10,3","9,85","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0355B,C0355B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal","Pumpkin, squash, peeled, seedless, roasted, without oil, with salt", ,Vegetais e derivados,,107,26,"91,0","5,92","2,33","1,80","0,21","3,59","0,00","1,06","0,00","0,05","0,03","0,02","0,00","5,00",tr,127,"2,99","12,8",201,"0,11","0,08","1,78",513,256,"0,00","2,23",tr,tr,tr,"0,09","0,00","12,5","11,6","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0354B,C0354B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal","Pumpkin, squash, peeled, seedless, roasted, without oil, unsalted", ,Vegetais e derivados,,107,26,"91,3","5,93","2,34","1,81","0,21","3,60","0,00","0,75","0,00","0,05","0,03","0,02","0,00","4,94",tr,tr,"2,99","12,8",202,"0,11","0,08","1,78",515,257,"0,00","2,23",tr,tr,tr,"0,09","0,00","12,5","11,7","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0226B,C0226B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, with salt", ,Vegetais e derivados,,158,38,"91,6","3,89","1,53","1,18","2,52","2,36","0,00","0,81","0,00","0,39","0,58","1,44","0,01","3,15",tr,127,"1,18","7,55","66,2","0,06","0,06","1,05",334,167,"0,00","1,75","0,00",tr,tr,"0,04","0,00","6,65","5,45","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0225B,C0225B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, unsalted", ,Vegetais e derivados,,159,38,"91,9","3,90","1,53","1,19","2,53","2,36","0,00","0,49","0,00","0,39","0,58","1,45","0,00","3,08",tr,tr,"1,18","7,58","66,4","0,06","0,06","1,05",335,167,"0,00","1,76","0,00",tr,tr,"0,04","0,00","6,67","5,47","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0166B,C0166B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, without oil, with salt", ,Vegetais e derivados,,72,17,"93,8","3,98","1,57","1,21","0,14","2,41","0,00","0,82","0,00","0,03","0,02","0,01","0,00","3,22",tr,127,"1,21","7,74","67,9","0,06","0,05","1,08",342,171,"0,00","1,50",tr,tr,tr,"0,04","0,00","6,81","5,59","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0165B,C0165B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, without oil, unsalted", ,Vegetais e derivados,,72,17,"94,1","3,99","1,57","1,22","0,14","2,42","0,00","0,50","0,00","0,03","0,02","0,01","0,00","3,16",tr,tr,"1,21","7,76","68,1","0,06","0,05","1,08",343,171,"0,00","1,50",tr,tr,tr,"0,04","0,00","6,83","5,61","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0004B,C0004B,"Abóbora, moranga, s/ casca, s/ sementes, crua","Pumpkin, squash, peeled, seedless, raw",Curcubita spp. ,Vegetais e derivados,,66,16,"94,6","3,66","1,44","1,12","0,13","2,22","0,00","0,46","0,00","0,03","0,02","0,01","0,00","3,05",tr,tr,"1,85","7,91",124,"0,07","0,05","1,10",353,176,"0,00","1,38",tr,tr,tr,"0,06","0,00","9,65","10,3","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0064B,C0064B,"Abóbora, paulista, crua","Pumpkin, Squash, raw",Cucurbita maxima Duchesne,Vegetais e derivados,,126,30,"90,9","7,87","5,26","0,64","0,14","2,61","0,00","0,50","0,00","0,03","0,01","0,06","0,00","18,7","0,17","0,50","9,39","32,7",212,"0,18","0,10","1,10",353,176,"0,00","0,04",tr,tr,tr,"0,03","0,00","17,5","12,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0228B,C0228B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, with salt", ,Vegetais e derivados,,108,26,"91,5","6,65","4,15","0,73","0,13","2,50","0,00","0,97","0,00","0,03","0,02","0,01","0,00","9,17","0,23",128,"4,84","30,9",143,"0,14","0,09","1,08",525,262,"0,00","1,38",tr,tr,tr,"0,04","0,00","1,48","7,76","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0227B,C0227B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal","Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, unsalted", ,Vegetais e derivados,,108,26,"91,8","6,67","4,17","0,73","0,13","2,51","0,00","0,65","0,00","0,03","0,02","0,01","0,00","9,12","0,22","0,61","4,85","31,0",143,"0,14","0,09","1,08",527,263,"0,00","1,38",tr,tr,tr,"0,04","0,00","1,48","7,79","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0005B,C0005B,"Abóbora, pescoço, s/ casca, s/ sementes, crua","Pumpkin, squash, winter, peeled, seedless, raw",Cucurbita moschata ,Vegetais e derivados,,99,24,"92,5","6,12","3,82","0,67","0,12","2,30","0,00","0,60","0,00","0,03","0,02","0,01","0,00","8,81","0,28","0,75","7,42","31,6",263,"0,18","0,09","1,10",537,268,"0,00","1,27",tr,tr,tr,"0,06","0,00","2,09","14,3","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0001B,C0001B,"Abóbora, s/ casca, s/ sementes, crua","Pumpkin, squash,  peeled, seedless, raw",Curcubita spp. ,Vegetais e derivados,,92,22,"93,2","5,03","3,01","1,05","0,18","2,02","0,00","0,54","0,00","0,04","0,03","0,02","0,00","9,64","0,22","0,19","5,54","19,2",225,"0,14","0,05","1,10",710,355,"0,00","1,91",tr,tr,tr,"0,07","0,00","4,58","12,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0725B,C0725B,"Abobrinha recheada, c/ sal","Stuffed zucchini, with salt", ,Vegetais e derivados,,367,88,"81,3","4,36","2,86","8,74","4,26","1,50","0,00","1,32","21,7","1,41","1,38","1,29","0,06","15,4","0,89",155,"23,7","90,2",336,"2,42","0,09","1,46","51,8","26,3","0,03","0,35","0,05","0,11","1,17","0,04","0,99","6,55","19,2","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0266B,C0266B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal","Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, whit salt", ,Vegetais e derivados,,546,131,"75,1","12,4","10,4","3,78","7,80","2,02","0,00","0,93","43,4","1,40","1,98","4,12","0,00","24,6","1,16",181,"28,3","72,9",308,"0,51","0,12","6,16","65,1","41,1","0,21","0,98","0,03","0,10","0,08","0,04","0,10","6,34","35,5","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0265B,C0265B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal","Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, unsalted", ,Vegetais e derivados,,546,131,"75,1","12,4","10,4","3,78","7,80","2,02","0,00","0,93","43,4","1,40","1,98","4,12","0,00","24,5","1,16","53,4","28,3","72,9",308,"0,51","0,12","6,16","65,1","41,1","0,21","0,98","0,03","0,10","0,08","0,04","0,10","6,34","35,5","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0232B,C0232B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal","Squash, Zucchini, unpeeled, cooked, drained, with soy oil, with salt", ,Vegetais e derivados,,146,35,"92,9","2,75","1,28","0,96","2,61","1,47","0,00","0,74","0,00","0,47","0,56","1,54","0,00","15,5","0,15",128,"15,6","20,7",116,"0,24","0,02","0,07","74,2","37,1","0,00","0,36","0,05",tr,tr,"0,06","0,00","1,97","25,5","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0231B,C0231B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal","Squash, Zucchini, unpeeled, cooked, drained, with soy oil, unsalted", ,Vegetais e derivados,,147,35,"93,2","2,76","1,29","0,96","2,61","1,47","0,00","0,42","0,00","0,48","0,56","1,55","0,00","15,5","0,15","0,77","15,6","20,8",116,"0,24","0,02","0,07","74,5","37,2","0,00","0,36","0,05",tr,tr,"0,06","0,00","1,97","25,6","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0152B,C0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal","Squash, Zucchini, unpeeled, cooked, drained, without soy oil, with salt", ,Vegetais e derivados,,60,14,"95,5","2,82","1,32","0,99","0,23","1,51","0,00","0,43","0,00","0,12",tr,"0,12","0,00","15,9","0,15",128,"16,0","21,3",119,"0,24","0,01","0,07","76,3","38,2","0,00","0,08","0,05",tr,tr,"0,06","0,00","2,02","26,2","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0040B,C0040B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal","Squash, Zucchini, unpeeled, boiled, drained, without oil, unsalted",Curcubita pepo L.,Vegetais e derivados,,60,14,"95,5","2,82","1,32","0,99","0,23","1,51","0,00","0,43","0,00","0,12",tr,"0,12","0,00","15,9","0,15","0,79","16,0","21,3",119,"0,24","0,01","0,07","76,3","38,2","0,00","0,08","0,05",tr,tr,"0,06","0,00","2,02","26,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0006B,C0006B,"Abobrinha, italiana, c/ casca, crua","Squash, Zucchini, Italian, unpeeled, raw",Cucurbita pepo L.,Vegetais e derivados,,73,17,"94,6","3,71","2,43","1,01","0,12","1,28","0,00","0,57","0,00","0,03",tr,"0,03","0,00","13,4","0,21",tr,"17,7","28,3",224,"0,15","0,06","0,10","40,5","20,3","0,00","0,05",tr,"0,05",tr,"0,03","0,00","5,87","24,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0264B,C0264B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal","Squash, Zucchini, unpeeled, grilled, without soy oil, with salt", ,Vegetais e derivados,,113,27,"91,1","5,76","3,77","1,56","0,19","1,99","0,00","1,36","0,00","0,05",tr,"0,05","0,00","20,9","0,33",187,"27,4","44,0",348,"0,23","0,09","0,16","62,0","31,0","0,00","0,07","0,00","0,07",tr,"0,04","0,00","7,29","27,0","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0263B,C0263B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal","Squash, Zucchini, unpeeled, grilled, without soy oil, unsalted",Cucurbita pepo ,Vegetais e derivados,,114,27,"91,6","5,79","3,79","1,57","0,19","2,00","0,00","0,89","0,00","0,05",tr,"0,05","0,00","20,9","0,33",tr,"27,5","44,2",349,"0,23","0,09","0,16","62,2","31,1","0,00","0,07","0,00","0,07",tr,"0,04","0,00","7,32","27,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0153B,C0153B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal","Squash, Zucchini, unpeeled braised (with oil, onion and garlic), with salt", ,Vegetais e derivados,,107,26,"93,5","4,19","2,81","1,07","0,82","1,38","0,00","0,43","0,00","0,13","0,18","0,46","0,00","20,7","0,36",130,"12,7","31,8",193,"0,27","0,02",-,"41,6","20,8",-,-,"0,04",tr,tr,tr,"0,00","7,53",-,"0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0104B,C0104B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal","Zucchini, squash, braised (with oil, onion and garlic), unsalted",Curcubita pepo L.,Vegetais e derivados,,107,26,"93,5","4,19","2,81","1,07","0,82","1,38","0,00","0,43","0,00","0,13","0,18","0,46","0,00","20,7","0,36","2,21","12,7","31,8",193,"0,27","0,02",NA,"41,6","20,8","0,00",NA,"0,04",tr,tr,tr,"0,00","7,53",NA,"0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0291C,C0291C,"Abricó (damasco), in natura","Apricot, raw",Mammea americana ,Frutas e derivados,,240,57,"85,0","13,5","10,00","0,30","1,00","3,50","0,00","0,20",,"0,28","0,20","0,17","0,00","8,00","0,12","1,76","0,22",-,"31,8","0,18","0,01","0,80",NA,NA,NA,NA,"0,11","0,06",-,"0,05",-,"16,7","10,1","0,00","0,00","0,00",,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0800B,C0800B,"Açafrão, pistilo, in natura","Saffron, pistil, raw",Crocus sativus ,Vegetais e derivados,,1487,352,"11,9","65,4","61,5","11,4","5,85","3,90","0,00","5,45","0,00","1,59","0,43","2,07","0,00",111,"11,1",148,264,252,1724,"1,09","0,33","5,60",NA,"27,0","0,00","0,00","0,12","0,27","1,46","1,01","0,00","80,8","93,0","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0003C,C0003C,"Açaí, polpa (média de amostras)","Brazilian fruit, ´açai´, pulp",Euterpe oleracea Mart.,Frutas e derivados,,278,68,"86,1","7,66","1,77","0,90","5,01","5,89","0,00","0,31","0,00","1,01","3,43","0,32",NA,"20,8","0,59","1,69","20,9","20,2",110,"0,23","0,20","0,70","28,6","14,3",NA,"14,8",tr,"0,04",tr,"0,08","0,00","42,0",NA,"0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0201C,C0201C,"Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa","Brazilian fruit ´açaí´, pulp, with guarana syrup and brazilian fruit ´cupuaçu´, pulp", ,Frutas e derivados,,427,101,"77,0","18,9","17,2","0,75","2,89","1,69","0,00","0,37","0,00","0,60","1,45","0,23","0,00","18,0","0,27","11,5","13,0","11,6",129,"0,18","0,14","0,38","15,7","7,84",NA,"8,09","0,02","0,02",tr,"0,07","0,00","9,35",NA,"0,00",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0177C,C0177C,"Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira","Brazilian fruit ´açaí´, pulp, with guarana syrup, with homemade granola (", ,Frutas e derivados,,742,177,"61,2","29,6","26,6","2,71","5,94","2,94","0,00","0,61","0,00","1,14","2,68","1,27","0,00","34,0","0,95","37,3","29,5","45,1",133,"0,99","0,17","21,0","17,0","8,51","0,00","8,63",tr,tr,tr,"0,06","0,06","8,22","0,00","0,00",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0095C,C0095C,"Açaí, polpa, com xarope de guaraná e glucose","Brazilian fruit ´açaí´, pulp, with guarana and glucose syrup", ,Frutas e derivados,,497,118,"73,9","21,5","19,7","0,72","3,66","1,72","0,00","0,28","0,00","0,70","1,90","0,30",NA,"22,2","0,27","15,1","12,7","10,8","75,5","0,19","0,14","0,51","20,9","10,4",NA,"10,8",tr,tr,tr,"0,07","0,00","10,3",NA,"0,00",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0185C,C0185C,"Açaí, solteiro, polpa","Brazilian fruit, ´açaí, solteiro´, pulp", ,Frutas e derivados,,234,57,"88,7","5,62","0,71","0,78","4,58","4,91","0,00","0,31","0,00","0,72","2,21","0,34",NA,"27,8","0,74","2,97","17,0","16,4",128,"0,29","0,16","0,57","26,1","13,1",NA,"13,5",tr,"0,04",tr,"0,07","0,00","38,4",NA,NA,NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0203T,C0203T,"Acarajé, c/ sal","Brazilian recipe, with black eye bean and dried shrimp, with salt", ,Leguminosas e derivados,,1115,270,"50,2","19,0","9,71","8,31","19,8","9,32","0,00","2,58","25,3","9,06","7,76","2,09",NA,123,"1,93",483,"50,9",140,352,"1,19","0,22",NA,NA,NA,NA,NA,"0,06",tr,tr,tr,NA,tr,NA,"0,45",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0061T,C0061T,"Acarajé, s/ sal","Brazilian recipe, with black eye bean and dried shrimp, unsalted", ,Leguminosas e derivados,,1120,271,"50,5","19,1","9,76","8,35","19,9","9,36",NA,"2,15","25,5","9,10","7,80","2,10",NA,124,"1,93",304,"51,1",141,353,"1,19","0,23",NA,NA,NA,NA,NA,"0,06",tr,tr,tr,NA,NA,NA,NA,"0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0212B,C0212B,"Acelga, cozida, drenada, s/ óleo, c/ sal","Chard, boiled, drained, with oil, with salt", ,Vegetais e derivados,,88,22,"93,4","4,07","2,93","1,47","0,11","1,14","0,00","0,97","0,00","0,02","0,02","0,04","0,00","41,7","0,21",128,"6,37","36,7",122,"0,23","0,10","0,73","69,2","34,6","0,00","1,02","0,03",tr,tr,"0,10","0,00","9,20","3,78","0,32","0,00",,,,
