url,codigo,nome,nome_ingles,nome_cientifico,grupo,marca,Energia (kJ),Energia (kcal),Umidade (g),Carboidrato total (g),Carboidrato disponível (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),Colesterol (g),Gordura de adição (g),Proteína animal (g),Proteína vegetal (g)
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0043E,C0043E,"Peixe, água salgada, bacalhau, salgado, cru","Fish, saltwater, cod, salted, fresh", ,Pescados e Frutos do mar,,538,127,"47,6","0,00","0,00","28,8","1,32","0,00","0,00","22,3",138,"0,60","0,30","0,20",tr,156,"0,85",13585,"49,5",186,433,"0,67","0,09",NA,tr,tr,"2,23","1,58",tr,"0,21","4,69",tr,"6,25","2,19","15,6",NA,"0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0368E,C0368E,"Peixe, água salgada, bacalhau, salgado, dessalgado, cozido, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Fish, saltwater, cod, salted, desalted, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt", ,Pescados e Frutos do mar,,347,82,"78,9","1,31","0,81","16,7","1,23","0,50","0,00","1,85","48,8","0,19","0,28","0,69","0,00","58,4","0,24",1448,"17,4","56,0",107,"0,58","0,07","0,07",NA,NA,"0,00","0,23","0,02","0,01","0,00","0,01","0,00","3,98","3,23","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0365E,C0365E,"Peixe, água salgada, bacalhau, salgado, dessalgado, cozido, s/ óleo, s/ sal","Fish, saltwater, cod, salted, desalted, cooked, boiled, without oil, unsalted", ,Pescados e Frutos do mar,,356,84,"78,0","0,00","0,00","20,4","0,25","0,00","0,00","1,33","61,0","0,05","0,06","0,11",NA,"17,0","0,16",134,"35,0",205,372,"0,43","0,02",NA,tr,tr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0044E,C0044E,"Peixe, água salgada, bacalhau, salgado, dessalgado, refogado","Fish, saltwater, cod, salted, desalted, braised/cooked",Gadus morhua ,Pescados e Frutos do mar,,562,133,"65,9","1,22","1,22","24,0","3,61","0,00","0,00","5,28",111,"0,90","1,10","1,20","1,00","59,1","0,15",1256,"15,1","51,3","50,2","0,56","0,04",NA,tr,tr,"5,03","3,40","0,03","0,05","10,6",tr,"1,49","1,42","11,3",NA,"0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0045E,C0045E,"Peixe, água salgada, cação posta, frito, c/ farinha de trigo, s/ sal","Fish, saltwater, blue shark/dogfish, slice, fried in oil, with wheat flour, unsalted", ,Pescados e Frutos do mar,,840,201,"60,6","3,10","2,56","25,0","9,95","0,54","0,00","1,37","74,9","1,50","2,21","5,22",NA,"30,4","1,00",160,"25,5",461,419,"0,55",tr,NA,"17,4","17,4",NA,NA,tr,tr,"0,77",tr,"1,19","0,00","21,7","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0432E,C0432E,"Peixe, água salgada, cação, à milanesa (farinha de rosca e ovo), frito (c/ óleo de soja), s/ sal","Fish, saltwater, blue shark, breaded (egg and breadcrumbs) fried (with soy oil), unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,1128,269,"45,7","18,2","17,2","22,6","12,0","0,96","0,00","1,53","70,0","2,02","2,88","6,50",NA,"20,7","1,78",269,"33,8",257,371,"0,86","0,24","44,4","19,4","19,3","0,26","0,88","0,09","0,04",tr,"0,02","1,25","0,00","28,4","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0142E,C0142E,"Peixe, água salgada, cação, à milanesa (ovo e farinha de rosca), frito (c/ óleo de soja), c/ sal","Fish, saltwater, blue shark, breaded (egg and breadcrumbs) fried (with soy oil), with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,1128,269,"44,9","18,2","17,2","22,6","12,0","0,96","0,00","2,32","70,0","2,02","2,88","6,50",NA,"20,9","1,78",588,"33,8",257,371,"0,86","0,24","44,4","19,4","19,3","0,26","0,88","0,09","0,04",tr,"0,02","1,25","0,00","28,4","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0046E,C0046E,"Peixe, água salgada, cação, cru","Fish, saltwater, blue shark/dogfish, fresh",Prionace glauca ,Pescados e Frutos do mar,,400,94,"75,8","0,00","0,00","22,6","0,91","0,00","0,00","1,27","83,3","0,20","0,10","0,20",NA,"10,3","0,32",114,"21,1",203,248,"0,61","0,03",NA,"11,6","12,0",NA,NA,tr,"0,04","9,77",tr,"0,74","0,00","13,4","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0047E,C0047E,"Peixe, água salgada, cação, cru (média de diferentes espécies)","Fish, saltwater, blue shark/dogfish, fresh (average of samples species)",Carcharhinus plumbeus ,Pescados e Frutos do mar,,351,83,"79,1","1,87","1,87","17,3","0,67","0,00","0,00","1,05","36,1","0,10","0,10","0,20",NA,"8,55","0,20",176,"21,3",181,299,"0,35","0,13","31,3","6,00","6,00","0,09","0,15","0,04",tr,"1,31",tr,"1,18","0,00","2,37","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0143E,C0143E,"Peixe, água salgada, cação, frito (c/ óleo de soja), c/ sal","Fish, saltwater, blue shark, fried (with soy oil), with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,536,128,"74,0","1,87","1,87","17,3","5,67","0,00","0,00","1,10","30,7","0,85","1,25","3,17",NA,"8,56","0,20",185,"19,2",183,285,"0,35","0,15","31,3","4,59","4,59","0,08","0,54","0,03","0,00",tr,"0,00","1,06","0,00","1,90","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0444E,C0444E,"Peixe, água salgada, cação, frito (c/ óleo de soja), s/ sal","Fish, saltwater, blue shark, fried (with soy oil), unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,536,128,"74,1","1,87","1,87","17,3","5,67","0,00","0,00","1,05","30,7","0,85","1,25","3,17",NA,"8,55","0,20",167,"19,2",183,285,"0,35","0,15","31,3","4,59","4,59","0,08","0,54","0,03","0,00",tr,"0,00","1,06","0,00","1,90","0,00","0,00",,,,
